NA,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs.1,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
307,NA,Mercedes-Benz Gls,350 Cdi,8820000.00,2987 cc,6,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Diesel,1850 mm,5120 mm,1934 mm,SUV,4,6.50,10.50,11.6 km/litre,NA,2535 kg,7,307 mm,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",NA,NA,275/55 R19,275/55 R19,Electric Power,All Windows,"Yes, with memory",NA,258PS@3600rpm,619Nm@1600-2400RPM,NA,NA,Yes,NA,5,Leather,Automatic,3075 mm,19,NA,NA,CD Player with Aux-in,NA,NA,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,NA,NA,Yes,NA,NA,NA,NA,NA,NA,4th year /with (absolutely no mileage restriction),NA,Internal,NA,Automatic,Analog,Yes,6.2 meter,Yes,Driver & Front Passenger,NA,2 Zone Climate Control,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,3250 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags",Yes,Yes,Yes,NA,9,17.7:1,"Reach, Rake",NA,NA,Front & rear sensors with 360 degree view,Yes,NA,NA,NA,NA,Multifunction Steering Wheel,NA,Yes,Electric Adjustment,Yes,NA,Yes,NA,NA,Yes,NA,NA,Only front,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
311,NA,Mercedes-Benz Gls,Grand Edition Diesel,8690000.00,2987 cc,6,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Diesel,1850 mm,5120 mm,1934 mm,SUV,4,6.50,10.50,11.6 km/litre,NA,2535 kg,7,307 mm,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",NA,NA,275/55 R19,275/55 R19,Electric Power,All Windows,"Yes, with memory",Yes,258PS@3600rpm,619Nm@1600-2400RPM,NA,Analog,Yes,Yes,5,Leather,Automatic,3075 mm,19,NA,NA,CD Player with Aux-in,Yes,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Yes,Automatic,Analog,Yes,6.2 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,3250 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Front passenger pelvic airbag, Driver pelvic airbag",Yes,Yes,Yes,Yes,9,17.7:1,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,NA,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,Only front,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
329,NA,Mercedes-Benz G-Class,G 350D,15000000.00,2925 cc,6,4,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,100 litres,Diesel,1969 mm,4817 mm,1931 mm,SUV,5,0.00,0.00,NA,NA,2453 kg,9,241 mm,Ventilated Disc,Ventilated Disc,Rigid Axle,Rigid Axle,1638 mm,1638 mm,265/60 R 18,265/60 R 18,Electric Power,All Windows,Yes,Smart Key,289PS@1200rpm,600Nm@2500rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2890 mm,265/60 R 18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,NA,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,NA,4th year /with (absolutely no mileage restriction),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,Yes,2 Zone Climate Control,Yes,Yes,Yes,NA,Yes,NA,"Normal, Comfort, Eco, Sport",Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,All Rows,3500 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags",Yes,Yes,Yes,Yes,10,15.5:1,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA
354,NA,Rolls-Royce Phantom Coupe,6.8 L,77312661.00,6749 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Petrol,1598 mm,5612 mm,1987 mm,Coupe,2,10.20,14.80,22.8 km/litre,NA,2629 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,3320 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,395 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,NA,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3050 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6,NA,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,All,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
880,NA,Rolls-Royce Drophead Coupe,Phantom,83755383.00,6749 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Transverse",Injection,100 litres,Petrol,1638 mm,5842 mm,1990 mm,Convertible,2,4.38,4.38,9.8 km/litre,NA,2649 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50 R21,285 / 45 R21,Electro-Hydraulic,All Windows,Yes,Smart Key,453PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,3570 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,"Internal, With Remote",460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,NA,Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,6.55 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3109 kg,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,11:01,"Rake, Reach",NA,NA,Front and rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Cup Holders, Audio Controls",Yes,Yes,Yes,NA,All,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
1219,NA,Rolls-Royce Phantom,Sedan,95000000.00,6749 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Petrol,1638 mm,5842 mm,1990 mm,Sedan,4,10.20,14.90,23 km/litre,NA,2649 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,3570 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,NA,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3109 kg,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,11:01,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,All,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
1220,NA,Rolls-Royce Phantom,Ewb,75400000.00,6749 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Petrol,1640 mm,6092 mm,1990 mm,Sedan,4,10.20,14.90,23 km/litre,NA,2694 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,3820 mm,R21,NA,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,NA,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3171 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,6,11:01,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,All,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
828,Land Rover Rover,Range Sport,2.0L S Petrol,8670586.00,1997 cc,8,NA,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,0.00,0.00,NA,NA,2083 kg,8,295.5 mm,Ventilated Disc,Ventilated Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1692 mm,1686 mm,NA,NA,Electric Power,All Windows,Yes,Remote,296bhp@5500rpm,400Nm@1500-4000rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2923 mm,20,NA,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,Yes,NA,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,2 Zone Climate Control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,All Rows,2900 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag, Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,NA,8,NA,"Rake, Reach",NA,NA,Front and rear sensors with camera,Yes,Yes,NA,NA,Yes,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Only front,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
829,Land Rover Rover,Range Sport,2.0L Se Petrol,9448181.00,1997 cc,8,NA,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,0.00,0.00,NA,NA,2083 kg,8,295.5 mm,Ventilated Disc,Ventilated Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1692 mm,1686 mm,NA,NA,Electric Power,All Windows,Yes,Remote,296bhp@5500rpm,400Nm@1500-4000rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2923 mm,20,NA,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,Yes,NA,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,2 Zone Climate Control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,All Rows,2900 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag, Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,NA,8,NA,"Rake, Reach",NA,NA,Front and rear sensors with camera,Yes,Yes,NA,NA,Yes,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Only front,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
831,Land Rover Rover,Range Sport,2.0L Hse Petrol,15600000.00,1997 cc,8,NA,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Petrol,1803 mm,4879 mm,2220 mm,SUV,5,0.00,0.00,NA,NA,2687 kg,8,295.5 mm,Ventilated Disc,Ventilated Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1690 mm,1683 mm,NA,NA,Electric Power,All Windows,Yes,Remote,296bhp@5500rpm,400Nm@1500-4000rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2923 mm,20,NA,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,Yes,NA,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,3 Zone climate control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,All Rows,3100 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,NA,8,NA,"Rake, Reach",NA,NA,Front and rear sensors with camera,Yes,Yes,NA,NA,Yes,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Only front,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
836,Land Rover Rover,Range Sport,4.4L Sdv8 Hse Diesel,14908985.00,4367 cc,8,2,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Diesel,1803 mm,4879 mm,2220 mm,SUV,5,5.90,11.50,11.5 km/litre,NA,2443 kg,8,295.5 mm,Ventilated Disc,Ventilated Disc,Electronic air suspension,Electronic air suspension,1692 mm,1686 mm,NA,NA,Electric Power,All Windows,"Yes, with memory",Remote,335bhp@3500rpm,740Nm@2250rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2923 mm,20,NA,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,NA,Yes,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,3 Zone climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3200 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,NA,8,NA,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,NA,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,All,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
848,Land Rover Rover,Range,5.0L V8 Autobiography Petrol,26037526.00,4999 cc,8,4,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Petrol,1877 mm,4999 mm,2034 mm,SUV,5,4.40,9.60,9.6 km/litre,NA,2687 kg,8,295.5 mm,Solid Disc,Solid Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1628 mm,1629 mm,NA,NA,Electric Power,All Windows,Yes,Smart Key,518bhp@6000-6500rpm,625Nm@2500-5500rpm,NA,Yes,Yes,Yes,7,Leather,Automatic,2922 mm,20,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,NA,Yes,Internal,Yes,Automatic,Analog,Yes,NA,Yes,Driver & Front Passenger,Yes,4 Zone climate control,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,3100 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,10,NA,"Rake, Reach",NA,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,NA,NA,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,Only front,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA
849,Land Rover Rover,Range,5.0L V8 Svautobiography Dynamic Petrol,32522000.00,4999 cc,8,2,4WD,V,BS IV,"Front, Longitudinal",Injection,105 litres,Petrol,1827 mm,4999 mm,2220 mm,SUV,5,4.40,9.60,9.6 km/litre,NA,2687 kg,8,295.5 mm,Ventilated Disc,Ventilated Disc,Electronic Cross Linked Air Suspension (with Variable Ride Height),Electronic Cross Linked Air Suspension (with Variable Ride Height),1690 mm,1683 mm,NA,NA,Electric Power,All Windows,Yes,Smart Key,558PS@6000-6500rpm,700Nm@3500-5000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2922 mm,20,NA,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Internal,NA,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,4 Zone climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,3100 kg,"Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag, Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,NA,8,NA,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,NA,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Audio Controls,Yes,Yes,Yes,NA,Only front,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA
2,Tata,Nano Genx,Emax Xm,296661.00,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4,0.00,0.00,NA,36 km/kg,710 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,4 B X 12,NA,Yes,Not on offer,NA,Yes,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,110 litres,NA,NA,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),NA,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Tata,Nano Genx,Xt,292667.00,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.60,0.00,23.6 km/litre,NA,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,NA,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Tata,Nano Genx,Xe,236447.00,624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.60,0.00,23.6 km/litre,NA,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,NA,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,4 B X 12,NA,Yes,Not on offer,NA,Yes,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,110 litres,NA,NA,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),NA,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
